sr_no,name,unit_no,company,sector,age_yr,gcv_kcal_per_kg,gcv_range,fuel,capacity_mw,ef_t_per_mwh,plf_pct,shr_kcal_per_kwh,efficiency_pct,aux_pct,net_gen_gwh,co2_mt,coal_grade,coal_source,fuel_price_rs_per_gcal,fuel_price_basis,vc_fuel_rs_per_kwh,variable_cost_rs_per_kwh,grid_region,ecr_rs_per_kwh,variable_cost_final,vc_source
31.0,JSW Ratnagiri TPP,1.0,JSW Energy,Private,14.0,5300.0,"(5000, 6000)",Coal,300.0,0.94,23.5,2622.0,32.8,8.6,617.8,0.58,G7,imported,1700.0,modelled_anchor,4.4574,4.6574,Unallocated,3.939,3.939,published_ECR
354.0,Wanakbori,4.0,GSECL,State,38.4,3799.1,"(3500, 4000)",Coal,210.0,1.14,23.8,2995.0,28.7,10.1,437.0,0.5,G12,domestic,662.3252875681084,CIL_pithead_FY2022-23+levies+freight,1.9836642362664845,2.1836642362664844,WR,4.232,4.232,published_ECR
418.0,Khamberkhera Ipp,2.0,Bajaj Energy Private,Private,12.7,3496.0,"(3000, 3500)",Coal,45.0,1.22,25.8,3213.1,26.8,9.7,101.5,0.12,G13,domestic,696.2614416475973,CIL_pithead_FY2022-23+levies+freight,2.237157638157895,2.437157638157895,NR,,2.437157638157895,modelled
314.0,Raichur,2.0,KPCL,State,38.4,3138.4,"(3000, 3500)",Coal,210.0,1.09,26.5,2816.8,30.5,11.3,488.2,0.53,G14,domestic,749.432832016314,CIL_pithead_FY2022-23+levies+freight,2.111002401223553,2.3110024012235537,SR,,2.3110024012235537,modelled
450.0,Bhavnagar TPP,1.0,BECL,State,8.2,2773.0,"(2000, 3000)",Lignite,250.0,1.58,27.7,3723.2,23.1,20.9,607.0,0.96,G16,lignite,500.0,modelled_anchor,1.8616,2.0616,Unallocated,2.976,2.976,published_ECR
279.0,Sikka Extn,4.0,GSECL,State,8.9,4988.0,"(4500, 5000)",Coal,250.0,1.06,28.2,2942.7,29.2,31.1,617.0,0.65,G8,imported,1700.0,modelled_anchor,5.00259,5.20259,WR,3.956,3.956,published_ECR
431.0,Neyveli Tps Exp -Ii,2.0,NLC,Centre,9.5,2587.0,"(2000, 3000)",Lignite,250.0,1.3,28.4,3054.5,28.2,16.8,622.8,0.81,G16,lignite,500.0,modelled_anchor,1.52725,1.72725,SR,,1.72725,modelled
239.0,Kota,3.0,RRVUNL,State,35.9,3481.4,"(3000, 3500)",Coal,210.0,1.04,28.6,2729.3,31.5,13.0,526.8,0.55,G13,domestic,699.1813638191531,CIL_pithead_FY2022-23+levies+freight,1.908275696271615,2.108275696271615,NR,3.39,3.39,published_ECR
272.0,Balco TPP,2.0,Balco India Private Ltd.,Private,8.4,3532.9,"(3500, 4000)",Coal,300.0,1.06,28.7,2792.1,30.8,6.8,753.0,0.8,G13,domestic,688.9892156585241,CIL_pithead_FY2022-23+levies+freight,1.9237267890401653,2.123726789040165,Unallocated,,2.123726789040165,modelled
33.0,ITPCL TPP,1.0,IL&FS TN Power Corp Ltd,Private,8.9,4015.0,"(4000, 4500)",Coal,600.0,0.94,29.2,2623.9,32.8,8.2,1535.0,1.44,G11,imported,1700.0,modelled_anchor,4.46063,4.66063,Unallocated,,4.66063,modelled
326.0,D.P.L.,7.0,Dpl,State,16.7,3872.0,"(3500, 4000)",Coal,300.0,1.1,29.2,2887.6,29.8,10.8,767.0,0.84,G12,domestic,649.8553719008265,CIL_pithead_FY2022-23+levies+freight,1.8765223719008264,2.076522371900827,ER,2.251,2.251,published_ECR
186.0,"Iepl ,Bela TPP",1.0,Iepl,Private,11.4,3551.0,"(3500, 4000)",Coal,270.0,1.0,29.3,2621.4,32.8,8.8,692.3,0.69,G13,domestic,685.4773303294846,CIL_pithead_FY2022-23+levies+freight,1.796910273725711,1.996910273725711,Unallocated,,1.996910273725711,modelled
447.0,Akrimota Lig,1.0,GMDCL,State,19.4,3293.7,"(3000, 3500)",Lignite,125.0,1.51,30.0,3589.1,24.0,19.8,328.0,0.5,G14,lignite,500.0,modelled_anchor,1.79455,1.99455,WR,,1.99455,modelled
448.0,Akrimota Lig,2.0,GMDCL,State,18.6,3264.1,"(3000, 3500)",Lignite,125.0,1.56,30.1,3700.6,23.2,20.0,330.0,0.52,G14,lignite,500.0,modelled_anchor,1.8503,2.0503,WR,,2.0503,modelled
233.0,Suratgarh,1.0,RRVUNL,State,26.2,3347.0,"(3000, 3500)",Coal,250.0,1.03,30.5,2711.7,31.7,10.4,668.0,0.69,G14,domestic,702.7248282043621,CIL_pithead_FY2022-23+levies+freight,1.9055789166417685,2.1055789166417687,NR,4.22,4.22,published_ECR
403.0,Kundarki TPP,2.0,Bajaj Energy Private,Private,12.4,3475.0,"(3000, 3500)",Coal,45.0,1.21,31.3,3185.8,27.0,9.3,123.5,0.15,G13,domestic,700.4690647482014,CIL_pithead_FY2022-23+levies+freight,2.2315543464748204,2.4315543464748206,NR,,2.4315543464748206,modelled
268.0,Mahan TPP,1.0,Bpscl,Private,11.4,3623.7,"(3500, 4000)",Coal,600.0,1.05,31.7,2782.1,30.9,7.8,1663.8,1.75,G13,domestic,671.7250324254215,CIL_pithead_FY2022-23+levies+freight,1.8688062127107647,2.068806212710766,ER,,2.068806212710766,modelled
406.0,Utraula TPP,1.0,Bajaj Energy Private,Private,12.5,3432.0,"(3000, 3500)",Coal,45.0,1.21,31.9,3195.2,26.9,9.3,125.6,0.15,G13,domestic,709.245337995338,CIL_pithead_FY2022-23+levies+freight,2.2661807039627035,2.466180703962704,NR,,2.466180703962704,modelled
409.0,Maqsoodpur Ipp,1.0,Bajaj Energy Private,Private,12.8,3546.0,"(3500, 4000)",Coal,45.0,1.22,32.0,3208.0,26.8,6.5,126.0,0.15,G13,domestic,686.443880428652,CIL_pithead_FY2022-23+levies+freight,2.202111968415116,2.402111968415116,NR,,2.402111968415116,modelled
375.0,Chandrapur_Coal,7.0,MAHAGENCO,State,26.8,2972.0,"(2000, 3000)",Coal,500.0,1.16,32.1,3028.1,28.4,12.6,1404.9,1.64,G15,domestic,728.1292059219381,CIL_pithead_FY2022-23+levies+freight,2.204848048452221,2.404848048452221,WR,3.125,3.125,published_ECR
282.0,Suratgarh,3.0,RRVUNL,State,22.8,3268.0,"(3000, 3500)",Coal,250.0,1.06,32.4,2768.5,31.1,11.7,709.8,0.75,G14,domestic,719.7123623011016,CIL_pithead_FY2022-23+levies+freight,1.9925236750306,2.1925236750306,NR,4.22,4.22,published_ECR
411.0,Barkhera TPP,2.0,Bajaj Energy Private,Private,12.5,3441.0,"(3000, 3500)",Coal,45.0,1.22,32.9,3209.0,26.8,9.6,129.5,0.16,G13,domestic,707.3902935193257,CIL_pithead_FY2022-23+levies+freight,2.2700154519035163,2.4700154519035165,NR,4.62,4.62,published_ECR
453.0,Bhusawal,3.0,MAHAGENCO,State,42.3,3506.3,"(3500, 4000)",Coal,210.0,1.66,32.9,4351.1,19.8,15.4,606.0,1.0,G13,domestic,694.2161252602458,CIL_pithead_FY2022-23+levies+freight,3.020603782619856,3.220603782619856,WR,3.542,3.542,published_ECR
405.0,Utraula TPP,2.0,Bajaj Energy Private,Private,12.4,3432.0,"(3000, 3500)",Coal,45.0,1.21,33.2,3195.2,26.9,9.3,130.8,0.16,G13,domestic,709.245337995338,CIL_pithead_FY2022-23+levies+freight,2.2661807039627035,2.466180703962704,NR,,2.466180703962704,modelled
429.0,Wanakbori,1.0,GSECL,State,42.4,3603.2,"(3500, 4000)",Coal,210.0,1.27,33.4,3213.5,26.8,11.9,614.0,0.78,G13,domestic,675.5467362344583,CIL_pithead_FY2022-23+levies+freight,2.170869436889432,2.370869436889432,WR,4.232,4.232,published_ECR
410.0,Barkhera TPP,1.0,Bajaj Energy Private,Private,12.8,3441.0,"(3000, 3500)",Coal,45.0,1.22,33.8,3209.1,26.8,9.6,133.3,0.16,G13,domestic,707.3902935193257,CIL_pithead_FY2022-23+levies+freight,2.270086190932868,2.4700861909328684,NR,4.62,4.62,published_ECR
344.0,Obra-A,13.0,UPRVUNL,State,42.0,3430.0,"(3000, 3500)",Coal,200.0,1.11,34.2,2904.1,29.6,8.8,600.0,0.67,G13,domestic,709.6588921282798,CIL_pithead_FY2022-23+levies+freight,2.060920388629737,2.2609203886297373,NR,2.58,2.58,published_ECR
416.0,Khamberkhera Ipp,1.0,Bajaj Energy Private,Private,13.0,3496.0,"(3000, 3500)",Coal,45.0,1.22,34.3,3213.1,26.8,9.7,135.3,0.16,G13,domestic,696.2614416475973,CIL_pithead_FY2022-23+levies+freight,2.237157638157895,2.437157638157895,NR,,2.437157638157895,modelled
256.0,Mahan TPP,2.0,Bpscl,Private,5.8,3622.2,"(3500, 4000)",Coal,600.0,1.05,34.7,2765.4,31.1,7.8,1825.4,1.91,G13,domestic,672.0032024736348,CIL_pithead_FY2022-23+levies+freight,1.8583576561205897,2.05835765612059,ER,,2.05835765612059,modelled
455.0,Kutch Lignite,4.0,GSECL,State,14.6,2303.0,"(2000, 3000)",Lignite,75.0,2.0,34.9,4696.5,18.3,23.7,229.0,0.46,G17,lignite,500.0,modelled_anchor,2.34825,2.5482500000000003,WR,3.113,3.113,published_ECR
417.0,Maqsoodpur Ipp,2.0,Bajaj Energy Private,Private,12.5,3546.0,"(3500, 4000)",Coal,45.0,1.22,35.0,3213.3,26.8,6.5,137.9,0.17,G13,domestic,686.443880428652,CIL_pithead_FY2022-23+levies+freight,2.205750120981388,2.405750120981388,NR,,2.405750120981388,modelled
228.0,Sikka Extn,3.0,GSECL,State,9.4,5011.0,"(5000, 6000)",Coal,250.0,1.03,35.5,2866.2,30.0,10.4,778.0,0.8,G8,imported,1700.0,modelled_anchor,4.87254,5.07254,WR,3.956,3.956,published_ECR
338.0,Nawapara,2.0,Trn Energy,Private,7.3,3099.0,"(3000, 3500)",Coal,300.0,1.11,35.5,2904.3,29.6,10.4,932.4,1.03,G15,domestic,698.2897708938367,CIL_pithead_FY2022-23+levies+freight,2.02804298160697,2.2280429816069702,Unallocated,2.32,2.32,published_ECR
414.0,Ropar,5.0,PSEB,State,32.4,3867.4,"(3500, 4000)",Coal,210.0,1.22,35.7,3192.2,26.9,9.6,656.7,0.8,G12,domestic,650.6283291099965,CIL_pithead_FY2022-23+levies+freight,2.0769357521849305,2.2769357521849307,NR,3.6037,3.6037,published_ECR
424.0,Wanakbori,2.0,GSECL,State,41.6,3648.5,"(3500, 4000)",Coal,210.0,1.24,35.7,3142.0,27.4,10.6,657.0,0.82,G13,domestic,667.1591064821159,CIL_pithead_FY2022-23+levies+freight,2.0962139125668084,2.2962139125668086,WR,4.232,4.232,published_ECR
258.0,Binjkote,2.0,Sks Power Generation,Private,7.3,3297.0,"(3000, 3500)",Coal,300.0,1.05,36.0,2762.7,31.1,10.7,946.1,0.99,G14,domestic,713.3818622990598,CIL_pithead_FY2022-23+levies+freight,1.9708600709736124,2.170860070973613,Unallocated,,2.170860070973613,modelled
391.0,Nashik,3.0,MAHAGENCO,State,45.4,2792.0,"(2000, 3000)",Coal,210.0,1.2,38.2,3105.8,27.7,12.6,703.0,0.84,G16,domestic,763.9899713467049,CIL_pithead_FY2022-23+levies+freight,2.3728000530085964,2.5728000530085966,WR,3.868,3.868,published_ECR
304.0,North Chennai Extension,1.0,TNEB,State,11.4,3085.1,"(3000, 3500)",Coal,600.0,1.08,38.7,2844.2,30.2,8.9,2033.4,2.19,G15,domestic,701.4359340053808,CIL_pithead_FY2022-23+levies+freight,1.995024083498104,2.195024083498104,SR,3.94,3.94,published_ECR
223.0,Melamaruthur (Muthiara),2.0,Coastal Energen,Private,8.6,3990.0,"(3500, 4000)",Coal,600.0,1.03,39.0,2871.6,29.9,6.9,2048.2,2.11,G12,imported,1700.0,modelled_anchor,4.88172,5.08172,Unallocated,,5.08172,modelled
355.0,Goindwal Sahib TPP,2.0,GVK Power Ltd.,Private,8.5,3722.9,"(3500, 4000)",Coal,270.0,1.14,40.0,2988.7,28.8,9.8,946.9,1.08,G12,domestic,675.8817051223509,CIL_pithead_FY2022-23+levies+freight,2.02000765209917,2.22000765209917,SR,,2.22000765209917,modelled
365.0,Ukai_Coal,3.0,GSECL,State,45.5,3516.0,"(3500, 4000)",Coal,200.0,1.15,40.4,2865.4,30.0,10.6,708.0,0.81,G13,domestic,692.3009101251422,CIL_pithead_FY2022-23+levies+freight,1.9837190278725825,2.1837190278725824,WR,3.915,3.915,published_ECR
401.0,Nashik,5.0,MAHAGENCO,State,43.5,2800.0,"(2000, 3000)",Coal,210.0,1.21,40.4,3165.1,27.2,13.0,744.0,0.9,G16,domestic,761.8071428571428,CIL_pithead_FY2022-23+levies+freight,2.411195787857143,2.611195787857143,WR,3.868,3.868,published_ECR
290.0,Raichur,7.0,KPCL,State,21.7,3099.5,"(3000, 3500)",Coal,210.0,1.07,40.8,2803.8,30.7,11.3,751.3,0.8,G15,domestic,698.1771253427972,CIL_pithead_FY2022-23+levies+freight,1.957549024036135,2.1575490240361352,SR,,2.1575490240361352,modelled
351.0,Rayal Seema,2.0,APGENCO,State,29.4,3238.0,"(3000, 3500)",Coal,210.0,1.13,40.9,2956.6,29.1,13.2,752.1,0.85,G14,domestic,726.3804817788758,CIL_pithead_FY2022-23+levies+freight,2.147616532427424,2.3476165324274243,SR,4.33,4.33,published_ECR
270.0,Suratgarh,2.0,RRVUNL,State,24.4,3277.0,"(3000, 3500)",Coal,250.0,1.06,41.2,2770.6,31.0,10.5,901.4,0.95,G14,domestic,717.7357339029601,CIL_pithead_FY2022-23+levies+freight,1.988558624351541,2.188558624351541,NR,4.22,4.22,published_ECR
374.0,Kasaipalli,1.0,Acb India Ltd,Private,12.6,2643.0,"(2000, 3000)",Coal,135.0,1.16,41.3,3060.9,28.1,12.4,488.7,0.57,G16,domestic,807.0601589103292,CIL_pithead_FY2022-23+levies+freight,2.4703304404086266,2.6703304404086268,Unallocated,,2.6703304404086268,modelled
389.0,Nashik,4.0,MAHAGENCO,State,44.1,2842.0,"(2000, 3000)",Coal,210.0,1.19,41.4,3121.7,27.5,12.4,762.0,0.91,G15,domestic,761.4356087262491,CIL_pithead_FY2022-23+levies+freight,2.376973539760732,2.576973539760732,WR,3.868,3.868,published_ECR
319.0,Goindwal Sahib TPP,1.0,GVK Power Ltd.,Private,8.4,3722.9,"(3500, 4000)",Coal,270.0,1.09,41.7,2876.7,29.9,9.6,986.1,1.08,G12,domestic,675.8817051223509,CIL_pithead_FY2022-23+levies+freight,1.9443089011254664,2.144308901125467,SR,,2.144308901125467,modelled
265.0,H_Ganj B,9.0,UPRVUNL,State,12.2,3483.0,"(3000, 3500)",Coal,250.0,1.05,41.8,2771.2,31.0,9.7,915.0,0.96,G13,domestic,698.8601780074648,CIL_pithead_FY2022-23+levies+freight,1.9366813252942865,2.1366813252942864,NR,3.94,3.94,published_ECR
295.0,Raichur,6.0,KPCL,State,25.0,3115.3,"(3000, 3500)",Coal,210.0,1.07,41.8,2810.4,30.6,11.3,769.0,0.83,G14,domestic,754.9898886142586,CIL_pithead_FY2022-23+levies+freight,2.1218235829615124,2.3218235829615126,SR,,2.3218235829615126,modelled
301.0,Marwa TPP,2.0,Cspgcl,State,8.4,3472.0,"(3000, 3500)",Coal,500.0,1.08,42.0,2835.7,30.3,6.6,1839.0,1.98,G13,domestic,701.0743087557604,CIL_pithead_FY2022-23+levies+freight,1.9880364173387093,2.1880364173387097,WR,1.837,1.837,published_ECR
402.0,Kundarki TPP,1.0,Bajaj Energy Private,Private,12.6,3475.0,"(3000, 3500)",Coal,45.0,1.21,42.1,3185.8,27.0,9.3,166.1,0.2,G13,domestic,700.4690647482014,CIL_pithead_FY2022-23+levies+freight,2.2315543464748204,2.4315543464748206,NR,,2.4315543464748206,modelled
377.0,Bellary Tps,2.0,KPCL,State,12.4,3676.7,"(3500, 4000)",Coal,500.0,1.17,42.4,3078.9,27.9,7.2,1856.0,2.17,G13,domestic,662.0420485761689,CIL_pithead_FY2022-23+levies+freight,2.0383612633611663,2.2383612633611665,SR,,2.2383612633611665,modelled
407.0,R_Gundem - B,1.0,TSGENCO,State,54.2,3664.0,"(3500, 4000)",Coal,62.5,1.21,42.4,3168.4,27.1,14.4,232.2,0.28,G13,domestic,664.3367903930131,CIL_pithead_FY2022-23+levies+freight,2.1048846866812227,2.304884686681223,SR,,2.304884686681223,modelled
371.0,Kasaipalli,2.0,Acb India Ltd,Private,12.1,2643.0,"(2000, 3000)",Coal,135.0,1.16,43.4,3043.1,28.3,11.9,512.7,0.59,G16,domestic,807.0601589103292,CIL_pithead_FY2022-23+levies+freight,2.455964769580022,2.655964769580023,Unallocated,,2.655964769580023,modelled
