name,unit_no,sector,coal_source,coal_grade,pithead,base_rs_t,freight_rs_t,recon_ecr,real_ecr,vc_final,vc_source
Neyveli St Ii,5.0,Centre,lignite,G16,True,1233.06,,1.80655,2.6420000000000003,2.6420000000000003,real_ISGS_ECR
Ukai_Coal,6.0,State,domestic,G13,False,1534.13,2190.0,2.813808335867117,,2.813808335867117,reconstructed_landed
Mejia,1.0,Centre,domestic,G13,False,1534.13,2190.0,3.07179745511251,3.142333333333333,3.142333333333333,real_ISGS_ECR
Bina TPP,2.0,Private,domestic,G13,False,1534.13,2190.0,2.9780002110244985,,2.9780002110244985,reconstructed_landed
Dadri (NcTPP),6.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.647625785228199,3.3,3.3,real_ISGS_ECR
Shri Singaji Malwa TPP,1.0,State,domestic,G14,False,1452.02,2190.0,3.024978366256379,,3.024978366256379,reconstructed_landed
North Chennai Extension,2.0,State,domestic,G15,False,1264.0,2190.0,3.221072686937231,,3.221072686937231,reconstructed_landed
Dadri (NcTPP),4.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.870303671829572,3.3,3.3,real_ISGS_ECR
Tuticorin,4.0,State,domestic,G15,False,1264.0,2190.0,3.606529735449735,,3.606529735449735,reconstructed_landed
Kolaghat,5.0,State,domestic,G14,False,1452.02,2190.0,3.4936196856881296,,3.4936196856881296,reconstructed_landed
Raghunathpur TPP Ph-I,2.0,Centre,domestic,G13,False,1534.13,2190.0,2.7268706027494796,3.067,3.067,real_ISGS_ECR
Sanjay Gandhi,2.0,State,domestic,G12,False,1616.2400000000002,1280.0,2.5187526295997857,,2.5187526295997857,reconstructed_landed
Trombay_Coal,1.0,Private,domestic,G10,False,1780.4600000000003,2190.0,2.349174347806524,,2.349174347806524,reconstructed_landed
Indra Gandhi STPP,1.0,Centre,domestic,G12,False,1616.2400000000002,2190.0,2.7350433588676553,3.466,3.466,real_ISGS_ECR
